#name	name2
NM_174964.4	ST3GAL3
NM_001350619.2	ST3GAL3
NM_174963.5	ST3GAL3
NR_073019.3	ST3GAL3
NR_073017.3	ST3GAL3
NR_073020.3	ST3GAL3
NR_073023.3	ST3GAL3
NR_073016.3	ST3GAL3
NR_146867.2	ST3GAL3
NR_073018.3	ST3GAL3
NR_073021.3	ST3GAL3
NM_014652.4	IPO13
NM_024066.3	ERI3
NM_001301698.2	ERI3
NM_001301700.1	ERI3
NM_001301701.1	ERI3
NM_001301699.1	ERI3
NR_110056.1	ERI3-IT1
NM_001297655.2	KIF2C
NM_006845.4	KIF2C
NM_001297657.2	KIF2C
NM_001297656.2	KIF2C
NM_020365.5	EIF2B3
NM_001261418.2	EIF2B3
NM_001166588.3	EIF2B3
NM_020883.2	ZSWIM5
NM_007170.3	TESK2
NM_001320800.2	TESK2
NM_001319245.2	MAST2
NM_015112.3	MAST2
NM_001324320.2	MAST2
NM_001324321.2	MAST2
NM_001328651.1	PIK3R3
NM_001328650.1	PIK3R3
NM_003629.4	PIK3R3
NM_001328652.2	PIK3R3
NM_001303429.2	PIK3R3
NM_001328653.2	PIK3R3
NM_001328654.2	PIK3R3
NM_001303428.1	PIK3R3
NM_001114172.1	PIK3R3
NM_001328649.1	PIK3R3
NM_001328648.1	PIK3R3
NR_137329.2	PIK3R3
NM_001303427.2	P3R3URF-PIK3R3
NM_001290129.2	POMGNT1
NM_001290130.2	POMGNT1
NM_017739.4	POMGNT1
NM_001243766.2	POMGNT1
NM_001377375.1	MKNK1
NM_001377338.1	MKNK1
NM_001377342.1	MKNK1
NM_003684.7	MKNK1
NM_001135553.4	MKNK1
NM_001377374.1	MKNK1
NM_001377337.1	MKNK1
NM_001377341.1	MKNK1
NM_001377373.1	MKNK1
NM_198973.5	MKNK1
NM_001377343.1	MKNK1
NR_024176.3	MKNK1
NR_024174.3	MKNK1
NR_146512.2	MKNK1
NR_165250.1	MKNK1
NR_002788.2	CYP4Z2P
NM_001320289.2	CYP4X1
NM_178134.3	CYP4Z1
NM_001136140.2	CMPK1
NM_001366135.1	CMPK1
NM_016308.3	CMPK1
NR_046394.2	CMPK1
NR_026749.2	SKINT1L
NM_019073.4	SPATA6
NM_001286238.2	SPATA6
NM_001286239.2	SPATA6
NM_001144777.3	ELAVL4
NM_001324208.2	ELAVL4
NM_001144776.3	ELAVL4
NM_001144775.3	ELAVL4
NM_001324216.1	ELAVL4
NM_001144774.3	ELAVL4
NM_021952.5	ELAVL4
NM_001324209.2	ELAVL4
NM_001324212.2	ELAVL4
NM_001324217.2	ELAVL4
